,Date
0,2019-12-30 00:00:00
1,2020-01-06 00:00:00
2,2020-01-13 00:00:00
3,2020-01-20 00:00:00
0,Month
1,2020-01-06 00:00:00
2,2020-01-13 00:00:00
3,2020-01-20 00:00:00
4,2020-01-27 00:00:00
0,Month
2,2020-01-13 00:00:00
3,2020-01-20 00:00:00
4,2020-01-27 00:00:00
5,2020-02-03 00:00:00
0,Month
3,2020-01-20 00:00:00
4,2020-01-27 00:00:00
5,2020-02-03 00:00:00
6,2020-02-10 00:00:00
0,Month
4,2020-01-27 00:00:00
5,2020-02-03 00:00:00
6,2020-02-10 00:00:00
7,2020-02-17 00:00:00
0,Month
5,2020-02-03 00:00:00
6,2020-02-10 00:00:00
7,2020-02-17 00:00:00
8,2020-02-24 00:00:00
0,Month
6,2020-02-10 00:00:00
7,2020-02-17 00:00:00
8,2020-02-24 00:00:00
9,2020-03-02 00:00:00
0,Month
7,2020-02-17 00:00:00
8,2020-02-24 00:00:00
9,2020-03-02 00:00:00
10,2020-03-09 00:00:00
0,Month
8,2020-02-24 00:00:00
9,2020-03-02 00:00:00
10,2020-03-09 00:00:00
11,2020-03-16 00:00:00
0,Month
9,2020-03-02 00:00:00
10,2020-03-09 00:00:00
11,2020-03-16 00:00:00
12,2020-03-23 00:00:00
0,Month
10,2020-03-09 00:00:00
11,2020-03-16 00:00:00
12,2020-03-23 00:00:00
13,2020-03-30 00:00:00
0,Month
11,2020-03-16 00:00:00
12,2020-03-23 00:00:00
13,2020-03-30 00:00:00
14,2020-04-06 00:00:00
0,Month
12,2020-03-23 00:00:00
13,2020-03-30 00:00:00
14,2020-04-06 00:00:00
15,2020-04-13 00:00:00
0,Month
13,2020-03-30 00:00:00
14,2020-04-06 00:00:00
15,2020-04-13 00:00:00
16,2020-04-20 00:00:00
0,Month
14,2020-04-06 00:00:00
15,2020-04-13 00:00:00
16,2020-04-20 00:00:00
17,2020-04-27 00:00:00
0,Month
15,2020-04-13 00:00:00
16,2020-04-20 00:00:00
17,2020-04-27 00:00:00
18,2020-05-04 00:00:00
0,Month
16,2020-04-20 00:00:00
17,2020-04-27 00:00:00
18,2020-05-04 00:00:00
19,2020-05-11 00:00:00
0,Month
17,2020-04-27 00:00:00
18,2020-05-04 00:00:00
19,2020-05-11 00:00:00
20,2020-05-18 00:00:00
0,Month
18,2020-05-04 00:00:00
19,2020-05-11 00:00:00
20,2020-05-18 00:00:00
21,2020-05-25 00:00:00
0,Month
19,2020-05-11 00:00:00
20,2020-05-18 00:00:00
21,2020-05-25 00:00:00
22,2020-06-01 00:00:00
0,Month
20,2020-05-18 00:00:00
21,2020-05-25 00:00:00
22,2020-06-01 00:00:00
23,2020-06-08 00:00:00
0,Month
21,2020-05-25 00:00:00
22,2020-06-01 00:00:00
23,2020-06-08 00:00:00
24,2020-06-15 00:00:00
0,Month
22,2020-06-01 00:00:00
23,2020-06-08 00:00:00
24,2020-06-15 00:00:00
25,2020-06-22 00:00:00
0,Month
23,2020-06-08 00:00:00
24,2020-06-15 00:00:00
25,2020-06-22 00:00:00
26,2020-06-29 00:00:00
0,Month
24,2020-06-15 00:00:00
25,2020-06-22 00:00:00
26,2020-06-29 00:00:00
27,2020-07-06 00:00:00
0,Month
25,2020-06-22 00:00:00
26,2020-06-29 00:00:00
27,2020-07-06 00:00:00
28,2020-07-13 00:00:00
0,Month
26,2020-06-29 00:00:00
27,2020-07-06 00:00:00
28,2020-07-13 00:00:00
29,2020-07-20 00:00:00
0,Month
27,2020-07-06 00:00:00
28,2020-07-13 00:00:00
29,2020-07-20 00:00:00
30,2020-07-27 00:00:00
0,Month
28,2020-07-13 00:00:00
29,2020-07-20 00:00:00
